dificuldade,palavra,dica
medio,lanchonete,Estabelecimento que serve lanches rápidos
medio,grafite,Material utilizado em desenhos e arte
medio,caminhão,Veículo grande de carga
medio,peixe,Animal aquático com nadadeiras
medio,lanterna,Fonte de luz portátil
medio,colina,Montanha pequena
medio,coelho,Animal que pula e tem orelhas grandes
medio,ferramenta,Instrumento usado para realizar tarefas
medio,galinha,Ave que bota ovos
medio,marte,Planeta vermelho
medio,poço,Cavidade para extrair água
medio,relógio,Instrumento para medir o tempo
medio,pó,"Partículas pequenas, geralmente de sujeira"
medio,criança,"Pessoa jovem, geralmente abaixo de 12 anos"
medio,leão,Rei da selva
medio,banco,Instituição financeira ou assento
medio,tigre,Grande felino de listras
medio,gato,Animal doméstico que mia
medio,açúcar,Produto doce usado em alimentos
medio,gramática,Conjunto de regras de uma língua
medio,escritório,Ambiente de trabalho
medio,música,Arte de combinar sons
medio,computador,Equipamento eletrônico para processamento de dados
medio,chuva,Precipitação de água
medio,rocha,Material sólido da crosta terrestre
medio,peixe,Animal aquático
medio,cachorro,Animal de estimação que late
medio,arroz,Grão muito consumido
medio,bicicleta,Meio de transporte com duas rodas
medio,guarda-chuva,Usado para se proteger da chuva
medio,porta,Abertura de uma parede para entrar em um ambiente
medio,abóbora,Fruta de casca dura e laranja
medio,refrigerante,Bebida gaseificada e doce
medio,pó,"Partículas pequenas, geralmente de sujeira"
medio,tartaruga,Animal que anda devagar e tem casca dura
medio,estádio,Local para assistir jogos de futebol
medio,escola,Instituição para estudar
medio,fruta,Produto da planta comestível e geralmente doce
medio,carro,Veículo com rodas
dificil,circunlóquio,
dificil,quimera,
dificil,inexorável,
dificil,idiossincrasia,
dificil,epistemologia,
dificil,heurístico,
dificil,procrastinação,
dificil,metempsicose,
dificil,anacoluto,
dificil,palimpsesto,
dificil,obnubilado,
dificil,conspurcar,
dificil,acrônimo,
dificil,logro,
dificil,apoptose,
dificil,congraçamento,
dificil,sagacidade,
dificil,incólume,
dificil,reticente,
dificil,inefável,
dificil,ontologia,
dificil,ressignificar,
dificil,inequívoco,
dificil,melancolia,
dificil,catacrese,
dificil,panaceia,
dificil,epifania,
dificil,homônimo,
dificil,vicissitude,
dificil,abstruso,
dificil,ininteligível,
dificil,circunspecto,
dificil,sibilante,
dificil,obsolescência,
dificil,dialética,
dificil,holístico,
dificil,exegese,
dificil,faticidade,
dificil,paradoxo,
dificil,espectro,
dificil,tenaz,
dificil,ontemático,
dificil,indelével,
dificil,volátil,
